region,all,all_%,city,city_%,village,village_%,sq,density,FO
Москва,13104177,8.95,13015126,99.32,0,0.0,2561,5116.82,ЦФО
Московская Область,8591736,5.87,6703233,78.02,1839024,21.4,44329,193.82,ЦФО
Краснодарский Край,5819345,3.97,3322319,57.09,2509723,43.13,75485,77.09,ЮФО
Санкт-Петербург,5600044,3.82,5607916,100.14,0,0.0,1403,3991.48,СЗФО
Свердловская Область,4239161,2.89,3658528,86.3,605163,14.28,194307,21.82,УФО
Ростовская Область,4164547,2.84,2845433,68.33,1346889,32.34,100967,41.25,ЮФО
Республика Башкортостан,4077600,2.78,2539327,62.28,1552294,38.07,142947,28.53,ПФО
Республика Татарстан,4001625,2.73,3070915,76.74,929169,23.22,67847,58.98,ПФО
Челябинская Область,3407145,2.33,2826740,82.97,594816,17.46,88529,38.49,УФО
Республика Дагестан,3209781,2.19,1441262,44.9,1745640,54.39,50270,63.85,СКФО
Самарская Область,3142683,2.15,2518567,80.14,645817,20.55,53565,58.67,ПФО
Нижегородская Область,3081817,2.1,2485263,80.64,623655,20.24,76624,40.22,ПФО
Ставропольский Край,2891204,1.97,1758630,60.83,1143825,39.56,66160,43.7,СКФО
Красноярский Край,2845545,1.94,2268468,79.72,587858,20.66,2366797,1.2,СФО
Новосибирская Область,2794266,1.91,2229106,79.77,568386,20.34,177756,15.72,СФО
Кемеровская Область,2568238,1.75,2242798,87.33,349215,13.6,95725,26.83,СФО
Пермский Край,2508352,1.71,1910757,76.18,614392,24.49,160236,15.65,ПФО
Волгоградская Область,2470057,1.69,1931231,78.19,561577,22.74,112877,21.88,ЮФО
Саратовская Область,2404944,1.64,1862221,77.43,568791,23.65,101240,23.75,ПФО
Иркутская Область,2344360,1.6,1834514,78.25,528933,22.56,774846,3.03,СФО
Воронежская Область,2285282,1.56,1577500,69.03,725117,31.73,52216,43.77,ЦФО
Алтайский Край,2130950,1.46,1254959,58.89,899973,42.23,167996,12.68,СФО
Ленинградская Область,2023767,1.38,1346919,66.56,659103,32.57,83908,24.12,СЗФО
Республика Крым[A],1916805,1.31,974231,50.83,956860,49.92,26081,73.49,ЮФО
Оренбургская Область,1841377,1.26,1108730,60.21,747051,40.57,123702,14.89,ПФО
Омская Область,1832064,1.25,1361478,74.31,490059,26.75,141140,12.98,СФО
Приморский Край,1820076,1.24,1445385,79.41,396576,21.79,164673,11.05,ДВФО
Ханты-Мансийский Автономный Округ — Югра,1730353,1.18,1577963,91.19,135800,7.85,534801,3.24,УФО
Тюменская Область,1608494,1.1,1082950,67.33,519722,32.31,160122,10.05,УФО
Чеченская Республика,1533209,1.05,577781,37.68,936822,61.1,16171,94.81,СКФО
Белгородская Область,1514527,1.03,1003348,66.25,533118,35.2,27134,55.82,ЦФО
